d,physical_error_rate,fault mechanisms,after decomposition,hyperedges (>2 detectors),cross-sector mechanisms,cross-sector share of error probability,shots,shots where an X detector fired,MWPM logical failure,no correction,predictions changed by erasing X sector,MWPM failures in test half,X-sector bits,Z-sector bits,"X-sector, shuffled (control)"
3,0.005,219,286,113,141,19.1%,200000,36.8%,1.72e-02,1.05e-01,0,1742,0.6994610261151089,0.8748144047025942,0.5022062573427499
5,0.005,1677,1953,1101,1175,23.9%,200000,92.4%,1.43e-02,2.30e-01,0,1433,0.6978933624774633,0.7875285145981411,0.5105552943534301
